DRUG_CODE,DESCRIPTION
c6A..,BECLOMETASONE+FORMOTEROL
c6A1.,FOSTAIR 100micrograms/6micrograms inhaler
c6A2.,FOSTAIR NEXTHALER 100micrograms/6micrograms powder inhaler
c6A3.,FOSTAIR 200micrograms/6micrograms inhaler
c6A4.,FOSTAIR NEXTHALER 200micrograms/6micrograms powder inhaler
c6Aw.,BECLOMET DIPROP+FORMOTERL FUMARATE DIHYD 200mcg/6mcg pdr inh
c6Ax.,BECLOMET DIPROP+FORMOTERL FUMARATE DIHYD 200mcg/6mcg inhaler
c6Ay.,BECLOMET DIPROP+FORMOTERL FUMARATE DIHYD 100mcg/6mcg pdr inh
c6Az.,BECLOMETASONE DIPROPIONATE+FORMETEROL FUMARATE DIHYDRATE 100micrograms/6micrograms inhaler
c6Az.,BECLOMETASONE DIPROPIONATE+FORMOTEROL FUMARATE DIHYDRATE 100micrograms/6micrograms inhaler
c6B..,FLUTICASONE+VILANTEROL
c6B1.,RELVAR ELLIPTA 184micrograms/22micrograms inhaler
c6B2.,FLUTICASONE FUROATE+VILANTEROL 184mcg/22mcg dry pdr inhaler
c6B3.,RELVAR ELLIPTA 92micrograms/22micrograms inhaler
c6B4.,FLUTICASONE FUROATE+VILANTEROL 92mcg/22mcg dry pdr inhaler
fe6..,PREDNISOLONE [ENDOCRINE]
fe61.,PREDNISOLONE 1mg tablets
fe62.,PREDNISOLONE 5mg tablets
fe64.,*DELTA-PHORICOL 5mg tablets
fe65.,DELTACORTRIL ENTERIC 2.5mg tablets
fe66.,DELTACORTRIL ENTERIC 5mg tablets
fe67.,*DELTALONE 1mg tablets
fe68.,*DELTALONE 5mg tablets
fe69.,*DELTASTAB 1mg tablets
fe6a.,*DELTASTAB 5mg tablets
fe6c.,*PRECORTISYL 1mg tablets
fe6d.,*PRECORTISYL 5mg tablets
fe6e.,PRECORTISYL FORTE 25mg tablets
fe6f.,*PREDNESOL 5mg tablets
fe6g.,*SINTISONE 5mg tablets
fe6h.,PREDNISOLONE 2.5mg e/c tablets
fe6i.,PREDNISOLONE 5mg e/c tablets
fe6j.,PREDNISOLONE 5mg soluble tablets
fe6k.,PREDNISOLONE 50mg tablets
fe6l.,DILACORT 5mg gastro-resistant tablets
fe6m.,DILACORT 2.5mg gastro-resistant tablets
fe6n.,PEVANTI 2.5mg tablets
fe6o.,PEVANTI 25mg tablets
fe6p.,PEVANTI 5mg tablets
fe6q.,PEVANTI 10mg tablets
fe6r.,PEVANTI 20mg tablets
fe6s.,PREDNISOLONE 20mg tablets
fe6t.,PREDNISOLONE 10mg tablets
fe6v.,PREDNISOLONE 2.5mg tablets
fe6v.,*PREDNISOLONE 2.5mg tablets
fe6w.,*PREDNISOLONE 2.5mg tablets
fe6z.,PREDNISOLONE 25mg tablets
fe7..,PREDNISONE
fe71.,*PREDNISONE 1mg tablets
fe72.,*PREDNISONE 5mg tablets
fe73.,*DECORTISYL 5mg tablets
fe74.,*ECONOSONE 1mg tablets
fe75.,*ECONOSONE 5mg tablets
fe77.,LODOTRA 2mg m/r tablets
fe78.,LODOTRA 5mg m/r tablets
fe79.,LODOTRA 1mg m/r tablets
fe7x.,PREDNISONE 5mg m/r tablets
fe7y.,PREDNISONE 2mg m/r tablets
fe7z.,PREDNISONE 1mg m/r tablets
